,0,1,2,3,4,5,6,7,8,9,10
194,nitrophenol,50,20.0,30.0,0,0.768789857,0.903469481,0.932394473,0.936437139,0.936569997,0.936721834
195,p-hydroxybenzoic acid,50,20.0,30.0,0,0.74622024,0.952505938,0.959277067,0.960030122,0.960203904,0.960319759
196,quinol,50,20.0,30.0,0,0.5,0.59870283,0.602830189,0.603301887,0.603891509,0.60495283
197,p-Hydroxybenzaldehyde,50,20.0,30.0,0,0.708792266,0.896523619,0.929476222,0.932928831,0.933166552,0.933302392
198,p-Hydroxyacetophenone,50,20.0,30.0,0,0.810518278,0.941782428,0.96960523,0.969672208,0.969725791,0.969752582
199,p-hydroxyanisole,50,20.0,30.0,0,0.587100051,0.767394617,0.767902489,0.768004063,0.769426105,0.769629253
200,Methyl 4-hydroxybenzoate,50,20.0,30.0,0,1.0,1.0,1.0,1.0,1.0,1.0
201,p-Hydroxybenzyl Alcohol,50,20.0,30.0,0,0.48713374,0.592465518,0.603376106,0.605434708,0.606326769,0.606738489
202,4-acetamidophenol,50,20.0,30.0,0,0.673593233,0.836612725,0.880930489,0.891688121,0.893435086,0.894170651
203,p-methylphenol,50,20.0,30.0,0,0.450411744,0.568385249,0.644915861,0.70112782,0.721177945,0.726279986
204,phenol,100,5.0,50.0,0,0.201356166,0.344443167,0.500057465,0.609929893,0.652108953,0.666015401
205,chlorophenol,100,5.0,50.0,0,0.345714286,0.613781513,0.78487395,0.873445378,0.904537815,0.914285714
206,nitrophenol,100,5.0,50.0,0,0.335345596,0.398373984,0.467574211,0.560502931,0.643397348,0.707938309
207,p-hydroxybenzoic acid,100,5.0,50.0,0,0.292009029,0.415981941,0.584469526,0.76234763,0.83530474,0.878013544
208,quinol,100,5.0,50.0,0,0.283685487,0.456356079,0.55316938,0.590578455,0.600969865,0.607897471
209,p-Hydroxybenzaldehyde,100,5.0,50.0,0,0.300999846,0.376511345,0.498329417,0.660103929,0.794096966,0.869539865
210,p-Hydroxyacetophenone,100,5.0,50.0,0,0.352964148,0.457636864,0.625018596,0.824531389,0.890769116,0.916877417
211,p-hydroxyanisole,100,5.0,50.0,0,0.27627965,0.398252185,0.555181024,0.684394507,0.749937578,0.778901373
212,Methyl 4-hydroxybenzoate,100,5.0,50.0,0,0.534465327,0.619248218,0.743681141,0.874918989,0.948639015,0.981367466
213,p-Hydroxybenzyl Alcohol,100,5.0,50.0,0,0.232334266,0.434218611,0.612548645,0.727657541,0.778930839,0.80105141
214,4-acetamidophenol,100,5.0,50.0,0,0.190613013,0.293795741,0.430515355,0.606777268,0.767855042,0.822685022
215,p-methylphenol,100,5.0,50.0,0,0.198553706,0.232092762,0.236020198,0.249984415,0.261517362,0.28570538
216,phenol,100,10.0,30.0,0,0.224039341,0.442017383,0.446477585,0.460658737,0.469236048,0.479071363
217,chlorophenol,100,10.0,30.0,0,0.439916237,0.632570876,0.708601804,0.714078608,0.722454897,0.737435567
218,nitrophenol,100,10.0,30.0,0,0.366275446,0.457383463,0.552788277,0.640713481,0.683840594,0.706531397
219,p-hydroxybenzoic acid,100,10.0,30.0,0,0.348321666,0.526745647,0.668371926,0.697181835,0.717465446,0.730748519
220,quinol,100,10.0,30.0,0,0.288559755,0.361933946,0.38968335,0.421348315,0.453013279,0.48927477
221,p-Hydroxybenzaldehyde,100,10.0,30.0,0,0.366605671,0.502080871,0.562450407,0.643547682,0.68135961,0.700322252
222,p-Hydroxyacetophenone,100,10.0,30.0,0,0.327759993,0.537491997,0.686124577,0.762700082,0.767255099,0.769541754
223,p-hydroxyanisole,100,10.0,30.0,0,0.242349151,0.422004708,0.53562136,0.584190311,0.586668319,0.59038533
224,Methyl 4-hydroxybenzoate,100,10.0,30.0,0,0.728132009,0.889458507,0.970842679,1.0,1.0,1.0
225,p-Hydroxybenzyl Alcohol,100,10.0,30.0,0,0.279464855,0.482834289,0.574644298,0.608267856,0.613789198,0.615063354
226,4-acetamidophenol,100,10.0,30.0,0,0.216251795,0.40689325,0.565940641,0.659765438,0.661799904,0.663235998
227,p-methylphenol,100,10.0,30.0,0,0.175911547,0.21852289,0.252500155,0.309832909,0.368159513,0.423566681
228,phenol,100,10.0,50.0,0,0.295377678,0.526493799,0.618263811,0.662908681,0.665163472,0.66572717
